link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability
https://nhadat.cafeland.vn/ban-12-sao-tho-cu-ngay-ql14-cho-3kcn-4600ha-so-hong-trung-tam-dong-duc-2267933.html,"BÁN (1,2 sào thổ cư) NGAY QL14, CHỢ 3KCN 4600ha, SỔ HỒNG, TRUNG TÂM ĐÔNG ĐÚC","Minh Lập, Chơn Thành, Bình Phước Lưu tin",~Thương lượng/m2,1268m2,Bán đất thổ cư,,,,,,,
https://nhadat.cafeland.vn/eco-retreat-ra-mat-phan-khu-mua-xuan-ha-thu-phuc-vu-cu-dan-eco-nh-70-2267696.html,"ECO RETREAT- RA MẮT PHÂN KHU MÙA XUÂN, HẠ, THU PHỤC VỤ CƯ DÂN ECO - NH 70%","Đường nguyễn hữu trí, Thanh Phú, Bến Lức, Long An Lưu tin","~69,2 triệu /m2",130m2,Bán biệt thự,Không xác định,4 tầng,4,20m - 30m,2,4 phòng,Sổ hồng
https://nhadat.cafeland.vn/dung-dau-tu-dat-long-an-khi-chua-biet-den-cho-nay-doi-dien-eco-retreat-220ha-2268592.html,"Đừng đầu tư đất Long An khi chưa biết đến chỗ này, đối diện Eco Retreat 220ha","Đường nguyễn hữu trí, Thanh Phú, Bến Lức, Long An Lưu tin",~20 triệu /m2,100m2,Bán đất nền dự án,,,,,,,
https://nhadat.cafeland.vn/chinh-chu-can-ban-gap-cc-duc-khai-r7-gai-42-ty-3-phong-ngu-dien-tich-94m2-2267905.html,"Chính chủ cần bán gấp CC Đức Khải R7 gái 4,2 tỷ, 3 phòng ngủ, diện tích 94m²","An Khánh, Quận 2, TP. Hồ Chí Minh Lưu tin","~44,6 triệu /m2",94m2,Bán căn hộ chung cư,,19 tầng,2,,1,3 phòng,Hợp đồng
https://nhadat.cafeland.vn/ban-lo-bia-2-mat-tien-gia-770tr-cuc-dep-kdc-day-du-tien-ich-truc-chinh-d4-tthc-2268035.html,"Bán lô bìa 2 mặt tiền giá 770tr cực đẹp KDC đầy đủ tiện ích, trục chính D4 TTHC (Tin Hết Hạn)","DX 614, Lai Uyên, Bàu Bàng, Bình Dương Lưu tin","~10,2 triệu /m2",75m2,Bán đất thổ cư,,,,,,,
https://nhadat.cafeland.vn/ban-280m2-dat-biet-thu-khu-thanh-binh-gia-21-ty-cach-bien-chi-150m-2268580.html,BÁN 280M² ĐẤT BIỆT THỰ KHU THANH BÌNH – GIÁ 21 TỶ – CÁCH BIỂN CHỈ 150M,"Đường 3/2, Phường 10, Vũng Tàu, Bà Rịa - Vũng Tàu Lưu tin","~7,5 triệu /m2",280m2,Bán biệt thự,,,,,,,
https://nhadat.cafeland.vn/22sao-2249m-2mt-nhuadt-756ql14-vaogia-890trsoshrnha-hien-huu-2263262.html,"(2,2Sào 2,249m) 2MT Nhựa,DT 756,QL14 Vào,Giá 890TR/Sổ,SHR,Nhà Hiện Hữu","Quang Minh, Chơn Thành, Bình Phước Lưu tin",~395 nghìn/m2,2249m2,Bán đất thổ cư,,,,,,,
https://nhadat.cafeland.vn/ban-dat-lo-nhua-phuong-truong-an-vinh-long-2268478.html,"Bán đất lộ nhựa Phường Trường An, Vĩnh Long","cách đường Võ Văn Kiệt 220m, Trường An, TP. Vĩnh Long, Vĩnh Long Lưu tin","~4,181/m2",1196m2,Bán nhà riêng,Đông Bắc,,,4m,,,Sổ hồng
https://nhadat.cafeland.vn/nha-mat-tien-161-duong-so-79-tan-quy-tret-1-lau-84x21m-173-m2-2241938.html,"Nhà mặt tiền 161 đường số 79, Tân Quy; trệt + 1 lầu +, 8.4x21m 173 m2","161, Đường 79, Tân Quy, Quận 7, TP. Hồ Chí Minh Lưu tin",~199 triệu/m2,173m2,Bán nhà phố dự án,,,,,,,
https://nhadat.cafeland.vn/toa-nha-can-ho-dich-vu-dang-cho-thue-300trth-dt-san-1800m2-dt-9425m222m2-2267380.html,"Toà nhà Căn Hộ Dịch Vụ. Đang cho Thuê 300tr/th. DT sàn 1800m2. DT: 9,4.25m(222m2","9, Cửu Long, Phường 2, Quận Tân Bình, TP. Hồ Chí Minh Lưu tin",~382 triệu/m2,222m2,Bán nhà riêng,,,,,,,
