price_per_m2,area (m2),category,direction,floor_num,toilet_num,livingroom_num,bedroom_num,liability,district,city_province,street (m)
6.35E8,645.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 5,TP. Hồ Chí Minh,-1.0
6.25E8,88.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
5.8E8,198.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
4.8E7,50.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Thanh Khê,TP. Đà Nẵng,-1.0
1.5E8,480.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Huyện Bình Chánh,TP. Hồ Chí Minh,-1.0
4.6E7,50.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Thanh Khê,TP. Đà Nẵng,-1.0
5.74E8,144.5,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Phú Nhuận,TP. Hồ Chí Minh,-1.0
6.76E8,99.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 3,TP. Hồ Chí Minh,-1.0
1.95E7,11000.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
5.38E8,799.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 3,TP. Hồ Chí Minh,-1.0
2.15E8,399.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
3.15E8,200.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
1.59E8,470.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
2.33E8,163.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 10,TP. Hồ Chí Minh,-1.0
2.85E7,84.0,Bán nhà riêng,Đông Nam,-1,2,1,2,Sổ hồng,Huyện Bình Chánh,TP. Hồ Chí Minh,-1.0
9300000.0,80.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
9300000.0,80.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
1.53E8,45.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
376000.0,12206.0,"Bán đất nông, lâm nghiệp",Đông Bắc,-1,-1,-1,-1,Sổ hồng,Lâm Hà,Lâm Đồng,10.0
8.68E7,206.0,Bán biệt thự,Đông Bắc,1,2,1,2,Hợp đồng,Huyện Bình Chánh,TP. Hồ Chí Minh,12.5
6.26E7,63.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 7,TP. Hồ Chí Minh,-1.0
1.85E7,100.0,Bán đất thổ cư,Bắc,-1,-1,-1,-1,Sổ hồng,Biên Hòa,Đồng Nai,-1.0
1.65E7,100.0,Bán đất thổ cư,Đông Bắc,-1,-1,-1,-1,Giấy đỏ,Biên Hòa,Đồng Nai,60.0
6.63E8,401.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Hai Bà Trưng,Hà Nội,-1.0
1.6E8,200.0,Bán nhà phố dự án,Tây Bắc,1,2,-1,-1,Sổ hồng,Biên Hòa,Đồng Nai,12.5
3.87E7,465.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
1.67E8,209.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
3.07E7,1300.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
3.8E7,500.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
1.23E8,101.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Biên Hòa,Đồng Nai,-1.0
1.96E7,39.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
5.58E7,60.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Thủ Đức,TP. Hồ Chí Minh,-1.0
8.49E7,70.6,Bán căn hộ chung cư,Không xác định,19,2,1,2,Đang hợp thức hóa,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
8.68E7,80.6,Bán căn hộ chung cư,Không xác định,-1,2,1,2,Sổ hồng,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
1.1E7,100.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Sổ hồng,Thủ Thừa,Long An,-1.0
1.55E8,24.4,Bán nhà riêng,Không xác định,2,2,1,2,Sổ hồng,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
6.12E7,245.0,Bán biệt thự,Đông Nam,3,5,1,5,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,-1.0
66296.0,270.0,Bán biệt thự,Không xác định,2,5,1,4,Không xác định,Ngũ Hành Sơn,TP. Đà Nẵng,7.0
158000.0,112.0,Bán đất nền dự án,Tây Bắc,-1,-1,-1,-1,Sổ hồng,Thủ Thừa,Long An,12.5
1.55E7,100.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Long Thành,Đồng Nai,-1.0
2.38E7,75.46,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
980000.0,51.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
2.62E7,80.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Thủ Dầu Một,Bình Dương,-1.0
2.1E7,50.0,Bán căn hộ chung cư,Không xác định,-1,1,1,2,Không xác định,Huyện Hóc Môn,TP. Hồ Chí Minh,-1.0
3.67E7,53.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
3.22E7,59.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
2.07E7,53.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Huyện Hóc Môn,TP. Hồ Chí Minh,-1.0
158000.0,112.0,Bán đất thổ cư,Tây Bắc,-1,-1,-1,-1,Sổ hồng,Thủ Thừa,Long An,12.5
517.0,3872.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Sổ hồng,TP. Vĩnh Long,Vĩnh Long,6.0
1800000.0,537.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Sổ hồng,TP. Vĩnh Long,Vĩnh Long,3.0
7600000.0,100.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Sổ hồng,Bình Minh,Vĩnh Long,12.5
140000.0,220.7,Bán đất thổ cư,Đông Nam,-1,-1,-1,-1,Sổ hồng,TP. Vĩnh Long,Vĩnh Long,25.0
2.29E7,48.0,Bán căn hộ chung cư,Không xác định,-1,1,-1,1,Không xác định,Quy Nhơn,Bình Định,-1.0
4.76E7,63.0,Bán nhà riêng,Đông Nam,4,2,4,2,Sổ hồng,Hải Châu,TP. Đà Nẵng,12.5
2.34E7,40.5,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Thủ Dầu Một,Bình Dương,-1.0
7200000.0,891.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Sổ hồng,Bến Cát,Bình Dương,25.0
3.42E7,57.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
1.09E8,65.0,Bán căn hộ chung cư,Không xác định,8,2,1,2,Sổ hồng,Quận 2,TP. Hồ Chí Minh,-1.0
818000.0,55.0,Bán căn hộ chung cư,Không xác định,-1,1,1,2,Hợp đồng,Thuận An,Bình Dương,-1.0
